GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ErisCasper.java,com.github.princesslana.eriscasper.data,ImmutableMessage.Json,35,0,0,0,13,0,9,0,9,0
ErisCasper.java,com.github.princesslana.eriscasper.data,Users,0,22,0,0,0,2,0,2,0,2
ErisCasper.java,com.github.princesslana.eriscasper.data,ImmutableGuildCreateData.Builder,12,0,0,0,3,0,2,0,2,0
ErisCasper.java,com.github.princesslana.eriscasper.data,ImmutableGuildCreateData.Json,3,0,0,0,1,0,1,0,1,0
ErisCasper.java,com.github.princesslana.eriscasper.data,Snowflake,26,37,3,3,7,9,5,5,2,5
ErisCasper.java,com.github.princesslana.eriscasper.data,ImmutableMessage.Builder,87,80,9,1,13,17,7,6,2,6
ErisCasper.java,com.github.princesslana.eriscasper.data,ImmutableMessage,183,96,28,4,37,21,23,9,7,9
ErisCasper.java,com.github.princesslana.eriscasper.data,ImmutableGuildCreateData,47,0,8,0,16,0,12,0,8,0
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableSendMessageRequest,57,31,7,3,16,8,10,4,5,4
ErisCasper.java,com.github.princesslana.eriscasper.rest,Route,0,49,0,0,0,15,0,5,0,5
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableGatewayResponse.Builder,71,0,4,0,15,0,7,0,5,0
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableSendMessageRequest.Builder,39,32,3,1,7,8,4,3,2,3
ErisCasper.java,com.github.princesslana.eriscasper.rest,Route.HttpMethod,0,37,0,0,0,7,0,3,0,3
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableGatewayResponse,101,0,12,0,28,0,16,0,10,0
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableRoute.Builder,87,80,9,1,13,17,7,6,2,6
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableGatewayResponse.Json,11,0,0,0,4,0,3,0,3,0
ErisCasper.java,com.github.princesslana.eriscasper.rest,RouteCatalog,4,13,0,0,1,2,1,1,1,1
ErisCasper.java,com.github.princesslana.eriscasper.rest,ImmutableRoute,172,70,17,7,31,17,20,7,8,7
ErisCasper.java,com.github.princesslana.eriscasper.rest,Routes,33,198,1,1,7,47,2,15,1,15
ErisCasper.java,com.github.princesslana.eriscasper.rest,SendMessageRequest,0,5,0,0,0,1,0,1,0,1
ErisCasper.java,com.github.princesslana.eriscasper.gateway,OpCode,12,166,0,2,0,21,1,6,1,5
ErisCasper.java,com.github.princesslana.eriscasper.gateway,SequenceNumber,69,0,6,0,18,0,11,0,8,0
ErisCasper.java,com.github.princesslana.eriscasper.gateway,ImmutablePayload.Json,16,28,0,0,4,12,4,5,4,5
ErisCasper.java,com.github.princesslana.eriscasper.gateway,ImmutableIdentify.Json,4,7,0,0,1,3,1,2,1,2
ErisCasper.java,com.github.princesslana.eriscasper.gateway,SequenceNumber.Json,11,0,0,0,4,0,3,0,3,0
